name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"30,-97",2022-12-03T00:00:00,19.1,19.1,19,99.69,0,0,,0,0,22.7,1.3,325,1022.5,100,3.2,0,,0,5,Overcast,cloudy,"K66R,KGYB,K3T5"
"30,-97",2022-12-03T01:00:00,18.9,18.9,18.8,99.69,0,0,rain,0,0,20.5,7.8,223,1022.5,100,1.7,0,,0,5,Overcast,cloudy,"K66R,KGYB,K3T5"
"30,-97",2022-12-03T02:00:00,18.9,18.9,18.9,99.84,0,0,rain,0,0,15.1,2.3,325,1022.5,100,3.2,0,,0,5,Overcast,cloudy,"K66R,KGYB,K3T5"
"30,-97",2022-12-03T03:00:00,19.2,19.2,19.1,99.54,0,0,,0,0,15.8,3.4,325,1022.8,100,14.8,0,,0,3,Overcast,cloudy,"K66R,KGYB,K3T5"
"30,-97",2022-12-03T04:00:00,19.2,19.2,19.1,99.23,0,0,rain,0,0,22.3,2.8,328,1023.5,100,11.5,0,,0,10,Overcast,cloudy,"K66R,KGYB,K3T5"
"30,-97",2022-12-03T05:00:00,19.2,19.2,19,99.07,0,0,rain,0,0,15.8,8.7,243,1023.7,100,15.8,0,,0,10,Overcast,cloudy,"K66R,KGYB,K3T5"
"30,-97",2022-12-03T06:00:00,18.8,18.8,18.6,98.92,0,0,rain,0,0,10.4,6.8,258,1023.9,100,15.6,0,,0,10,Overcast,cloudy,"K66R,KGYB,K3T5"
"30,-97",2022-12-03T07:00:00,18.6,18.6,18.4,98.92,0,0,,0,0,22,8.2,289,1026.1,100,14.4,1,0,0,10,Overcast,cloudy,"F7127,K66R,KGYB,K3T5"
"30,-97",2022-12-03T08:00:00,18.3,18.3,18.1,99.07,0,0,,0,0,17.3,7,322,1026.5,100,5,1,0,0,10,Overcast,cloudy,"K66R,KGYB,K3T5,RHBT2"
"30,-97",2022-12-03T09:00:00,18.5,18.5,18.1,97.99,0,0,,0,0,19.4,6.8,337,1027.5,97,14.5,35,0.1,0,10,Overcast,cloudy,"K66R,KGYB,K3T5,RHBT2"
"30,-97",2022-12-03T10:00:00,18.1,18.1,16.8,91.95,0,0,,0,0,23,15.8,343,1028.3,100,16,111,0.4,1,10,Overcast,cloudy,"K66R,KGYB,K3T5,RHBT2"
"30,-97",2022-12-03T11:00:00,16.1,16.1,12.9,80.88,0,0,,0,0,29.5,17.4,340,1028.7,100,12.4,195,0.7,2,10,Overcast,cloudy,"K66R,KGYB,K3T5,RHBT2"
"30,-97",2022-12-03T12:00:00,16.7,16.7,11.6,72.18,0,0,,0,0,31.7,14.8,357,1028.3,97,14.5,277,1,3,10,Overcast,cloudy,"K66R,KGYB,K3T5,RHBT2"
"30,-97",2022-12-03T13:00:00,17,17,13.7,80.91,0,0,,0,0,24.5,18.4,353.7,1027,55,16.8,481,1.7,5,10,Partially cloudy,partly-cloudy-day,
"30,-97",2022-12-03T14:00:00,16.4,16.4,12.6,78.23,0,0,,0,0,25.2,18.4,355.9,1025,46,18.8,297,1.1,3,10,Partially cloudy,partly-cloudy-day,
"30,-97",2022-12-03T15:00:00,16.2,16.2,12.3,77.69,0,0,,0,0,25.6,18.4,359.1,1026,46,18.5,314,1.1,3,10,Partially cloudy,partly-cloudy-day,
"30,-97",2022-12-03T16:00:00,15.4,15.4,11.6,78.08,0,0,,0,0,25.9,17.3,2.3,1026,100,19.2,148,0.5,1,10,Overcast,cloudy,
"30,-97",2022-12-03T17:00:00,14.8,14.8,11.3,79.56,0,0,,0,0,27,15.5,5.5,1026,100,19,19,0.1,0,10,Overcast,cloudy,
"30,-97",2022-12-03T18:00:00,14.5,14.5,10.2,75.39,0,0,,0,0,26.3,13.3,0.2,1027,100,22,0,0,0,10,Overcast,cloudy,
"30,-97",2022-12-03T19:00:00,13.8,13.8,8.7,71.32,0,0,,0,0,27.7,13,359.1,1027,93,24.6,0,,0,10,Overcast,cloudy,
"30,-97",2022-12-03T20:00:00,13.5,13.5,7.7,67.95,0,0,,0,0,29.5,12.6,2,1028,100,27,0,,0,10,Overcast,cloudy,
"30,-97",2022-12-03T21:00:00,13.3,13.3,7.5,67.91,0,0,,0,0,28.4,11.9,7.8,1028,100,27.6,0,,0,10,Overcast,cloudy,
"30,-97",2022-12-03T22:00:00,13.4,13.4,7.7,68.39,0,0,,0,0,22.3,8.6,11.7,1028,100,26.8,0,,0,10,Overcast,cloudy,
"30,-97",2022-12-03T23:00:00,13.3,13.3,7.5,67.91,0,0,,0,0,25.2,12.2,12.8,1028,100,27.4,0,,0,10,Overcast,cloudy,
"30,-97",2022-12-04T00:00:00,13.3,13.3,7.9,69.79,0,0,,0,0,17.3,8.3,346.8,1027,100,25.9,0,,0,10,Overcast,cloudy,
"30,-97",2022-12-04T01:00:00,13.1,13.1,7.8,70.22,0,0,,0,0,15.5,7.2,346.3,1027,100,25.2,0,,0,10,Overcast,cloudy,
"30,-97",2022-12-04T02:00:00,12.7,12.7,7.4,70.14,0,0,rain,0,0,18,9.7,349.8,1026,100,25.1,0,,0,10,Overcast,cloudy,
"30,-97",2022-12-04T03:00:00,12.2,12.2,6.9,70.05,0,0,rain,0,0,20.2,11.2,344,1026,100,25.1,0,,0,10,Overcast,cloudy,
"30,-97",2022-12-04T04:00:00,11.9,11.9,6.9,71.44,0,0,rain,0,0,18.4,9.4,4.7,1026,100,24.1,0,,0,10,Overcast,cloudy,
"30,-97",2022-12-04T05:00:00,11.5,11.5,7.3,75.39,0,0,rain,0,0,21.2,11.9,353.5,1027,100,20.9,0,,0,10,Overcast,cloudy,
"30,-97",2022-12-04T06:00:00,11,11,7.4,78.47,0,0,rain,0,0,22.3,12.6,0.9,1027,100,19.6,0,,0,10,Overcast,cloudy,
"30,-97",2022-12-04T07:00:00,10.6,10.6,7,78.41,0.1,0,rain,0,0,26.6,13.7,2.7,1027,100,19.5,0,,0,10,Overcast,cloudy,
"30,-97",2022-12-04T08:00:00,10.4,10.4,6.4,76.25,0,0,rain,0,0,29.9,15.5,7.8,1028,100,20.6,14,0.1,0,10,Overcast,cloudy,
"30,-97",2022-12-04T09:00:00,10.2,10.2,6.7,78.89,0.2,0,rain,0,0,25.6,13.3,359.1,1027,100,19,31,0.1,0,10,Overcast,cloudy,
"30,-97",2022-12-04T10:00:00,10.4,10.4,6.7,77.84,0,0,,0,0,23.8,13.3,10.5,1027,100,19.4,74,0.3,1,10,Overcast,cloudy,
"30,-97",2022-12-04T11:00:00,10.7,10.7,7,77.89,0,0,rain,0,0,16.9,9,8.1,1026,100,19.3,70,0.3,1,10,Overcast,cloudy,
"30,-97",2022-12-04T12:00:00,11.3,11.3,7.6,77.98,0,0,rain,0,0,12.2,5.4,15,1025,100,18.5,184,0.7,2,10,Overcast,cloudy,
"30,-97",2022-12-04T13:00:00,12,12,8.5,79.15,0,0,rain,0,0,8.6,2.2,39.4,1024,100,18.2,91,0.3,1,10,Overcast,cloudy,
"30,-97",2022-12-04T14:00:00,13.4,13.4,9.9,79.36,0,0,,0,0,15.1,6.8,94.4,1022,83,17.7,240,0.9,2,10,Partially cloudy,partly-cloudy-day,
