name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36,-115",2022-12-03T00:00:00,10,9.2,1.5,55.76,0,0,,0,0,4.3,7,154,1022.2,36.8,16,0,,0,10,Partially cloudy,partly-cloudy-night,"KHND,KLAS,KLSV"
"36,-115",2022-12-03T01:00:00,9.2,9.2,1,56.56,0,0,,0,0,5,5,210.6,1022.1,31.4,16,1,0,0,10,Partially cloudy,partly-cloudy-night,"KHND,KLAS,CMP12,KLSV"
"36,-115",2022-12-03T02:00:00,9.1,7.8,1.2,58,0,0,,0,0,3.2,8.6,86,1022.3,82.6,16,0,,0,10,Partially cloudy,partly-cloudy-night,"KHND,KLAS,KLSV"
"36,-115",2022-12-03T03:00:00,8.3,7.9,0.9,59.51,0,0,,0,0,3.6,5,275,1022.2,88,16,0,,0,10,Partially cloudy,partly-cloudy-night,"KHND,KLAS,KLSV"
"36,-115",2022-12-03T04:00:00,7.5,6.1,0.8,62.53,0,0,,0,0,2.5,7.7,185,1022.1,45.9,16,0,,0,10,Partially cloudy,partly-cloudy-night,"KHND,KLAS,KLSV"
"36,-115",2022-12-03T05:00:00,7.6,5.9,0.7,61.75,0,0,,0,0,4,9.1,205,1022.6,60.5,16,1,0,0,10,Partially cloudy,partly-cloudy-night,"KHND,KLAS,CMP12,KLSV"
"36,-115",2022-12-03T06:00:00,7.5,6.4,0.7,62.35,0,0,,0,0,2.9,6.8,106,1022.8,24.2,16,1,0,0,10,Partially cloudy,partly-cloudy-night,"KHND,KLAS,CMP12,KLSV"
"36,-115",2022-12-03T07:00:00,7.8,6.7,0.7,60.88,0,0,,0,0,4.3,7,188,1023.4,27.8,16,16,0.1,0,10,Partially cloudy,partly-cloudy-day,"KHND,KLAS,CMP10,KLSV"
"36,-115",2022-12-03T08:00:00,8.7,8.7,1,58.53,0,0,,0,0,7.6,4.7,100,1023.6,24.2,16,73,0.3,1,10,Partially cloudy,partly-cloudy-day,"KHND,KLAS,CMP10,KLSV"
"36,-115",2022-12-03T09:00:00,11.5,11.5,1.1,49.12,0,0,,0,0,5.8,5.7,264,1023.7,27.8,16,253,0.9,3,10,Partially cloudy,partly-cloudy-day,"KHND,KLAS,CMP10,KLSV"
"36,-115",2022-12-03T10:00:00,13.3,13.3,1,43.06,0,0,,0,0,6.5,1.6,14,1023.4,24.2,16,415,1.5,4,10,Partially cloudy,partly-cloudy-day,"KHND,KLAS,CMP10,KLSV"
"36,-115",2022-12-03T11:00:00,14.5,14.5,1,39.68,0,0,,0,0,5.4,7.3,22,1022.7,27.8,16,533,1.9,5,10,Partially cloudy,partly-cloudy-day,"KHND,KLAS,CMP10,KLSV"
"36,-115",2022-12-03T12:00:00,15.7,15.7,1.4,37.98,0,0,,0,0,13,7.1,50,1021.3,13.8,16,577,2.1,6,10,Clear,clear-day,"KHND,KLAS,CMP10,KLSV"
"36,-115",2022-12-03T13:00:00,16.5,16.5,1.3,35.79,0,0,,0,0,13.3,4,134.1,1020.8,13.8,16,528,1.9,5,10,Clear,clear-day,"KHND,KLAS,CMP10,KLSV"
"36,-115",2022-12-03T14:00:00,17.4,17.4,2.3,36.32,0,0,,0,0,20.2,10.4,144.3,1018,100,50,368,1.3,4,10,Overcast,cloudy,
"36,-115",2022-12-03T15:00:00,17.7,17.7,1.5,33.66,0,0,,0,0,20.2,9.4,139.7,1017,19,55.1,206,0.7,2,10,Clear,clear-day,
"36,-115",2022-12-03T16:00:00,16.2,16.2,1.5,37.02,0,0,,0,0,20.2,10.1,131,1017,0,54.4,37,0.1,0,10,Clear,clear-day,
"36,-115",2022-12-03T17:00:00,13.8,13.8,3.1,48.42,0,0,,0,0,25.9,15.1,155.9,1017,0,42.5,0,0,0,10,Clear,clear-night,
